host_is_superhost,host_identity_verified,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,neighbourhood,room
1,0,1.0,1.0,1.0,4,18,59,3.0,0.35,1,0.15,4,365,282,0,0,3,1,1,4,1
1,1,1.0,1.0,1.0,4,24,145,5.0,1.0,2,0.0,2,21,158,0,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,8,140,4.0,0.95,1,0.0,5,45,138,0,0,3,0,0,4,2
1,1,1.0,2.0,4.0,4,52,275,0.0,0.75,4,0.75,3,1125,345,1,0,4,0,0,4,2
0,0,1.0,1.0,1.0,4,16,200,0.0,0.75,1,0.0,5,14,147,0,0,3,0,0,4,2
0,0,1.0,1.0,1.0,4,39,88,0.0,1.2,1,0.0,28,330,123,1,0,4,0,0,1,2
0,0,1.0,1.0,2.0,4,20,170,1.0,1.0,2,0.25,14,90,0,0,0,4,0,0,4,2
0,0,1.0,1.0,1.0,4,20,145,0.0,0.6,1,0.5,5,30,8,1,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,28,180,5.0,1.0,2,0.2,1,365,21,1,0,3,0,0,2,2
1,1,1.0,1.0,1.0,4,56,195,0.0,0.75,2,0.15,1,60,27,1,0,3,1,1,3,2
0,0,1.0,2.0,2.0,4,17,99,1.0,0.5,2,0.25,1,365,284,0,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,38,169,50.0,1.99,2,3.0,1,100,269,0,0,3,0,0,3,2
0,1,1.0,1.0,0.0,4,8,80,0.0,0.0,1,0.3,2,365,341,1,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,15,150,1.5,0.75,1,0.25,30,365,323,0,0,3,0,0,3,2
0,0,1.0,2.0,2.0,4,24,110,3.0,1.0,2,0.25,4,60,334,1,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,31,69,0.0,0.0,1,0.1,2,14,27,1,0,4,1,1,3,1
0,1,1.0,1.0,2.0,4,21,150,1.5,0.6,1,0.0,1,30,259,0,0,4,1,1,3,2
1,1,1.0,2.0,2.0,4,41,169,2.0,0.6,1,0.25,2,21,127,0,0,3,1,1,3,2
1,1,2.0,2.0,2.0,4,26,165,2.5,0.6,2,0.0,2,730,90,0,0,4,0,0,3,2
0,0,1.0,0.0,2.0,4,39,110,5.0,0.6,1,0.25,2,365,324,1,0,3,1,1,4,2
1,1,1.0,2.0,2.0,4,41,395,3.0,1.2,1,0.0,2,6,163,0,0,3,0,0,4,2
0,1,1.5,3.0,5.0,4,16,350,5.0,1.2,5,0.5,6,365,34,1,0,3,0,0,3,2
0,1,1.0,1.0,2.0,4,11,71,0.0,0.1,1,0.15,2,60,290,0,0,4,0,1,4,1
1,1,1.0,2.0,2.0,4,19,200,5.0,1.0,1,0.0,3,15,144,0,0,4,1,0,3,2
0,1,2.0,2.0,6.0,4,25,189,1.99,0.95,4,0.4,2,365,310,1,0,3,0,1,4,2
